Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source
Intellecap,Accelerator,"Pre-Seed, Seed","Intellecap focuses on Pre-Seed, Seed opportunities across Impact, operating as a Accelerator relevant to Indian founders.",Impact,,https://www.intellecap.com,,Impact programs,,,"Intellecap is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Impact, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Intellecap is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Impact programs Overall, Intellecap is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://www.intellecap.com
NASSCOM CoE Fintech,Accelerator,"Pre-Seed, Seed","NASSCOM CoE Fintech focuses on Pre-Seed, Seed opportunities across Fintech, operating as a Accelerator relevant to Indian founders.",Fintech,,https://www.nasscom.in,,CoE,,,"NASSCOM CoE Fintech is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, NASSCOM CoE Fintech is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: CoE Overall, NASSCOM CoE Fintech is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.nasscom.in
NASSCOM CoE IoT & AI,Accelerator,"Pre-Seed, Seed","NASSCOM CoE IoT & AI focuses on Pre-Seed, Seed opportunities across Deep Tech, AI / ML, operating as a Accelerator relevant to Indian founders.","Deep Tech, AI / ML",,https://www.nasscom.in,,CoE,,,"NASSCOM CoE IoT & AI is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, AI / ML, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, NASSCOM CoE IoT & AI is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: CoE Overall, NASSCOM CoE IoT & AI is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks.",Unverified – inferred (template),HQ India,https://www.nasscom.in
Razorpay Rize,Accelerator,"Pre-Seed, Seed","Razorpay Rize focuses on Pre-Seed, Seed opportunities across Fintech, SaaS / Enterprise, operating as a Accelerator relevant to Indian founders.","Fintech, SaaS / Enterprise",upto $1M,https://rize.razorpay.com,,Razorpay startups | Ticket researched: Razorpay Venture Investment Program invests up to $1M per B2B startup; Rize community access (Razorpay newsroom),,,"Razorpay Rize is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Fintech, SaaS / Enterprise, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Razorpay Rize is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Razorpay startups Overall, Razorpay Rize is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://rize.razorpay.com
Mahindra Sparkle,Accelerator,"Pre-Seed, Seed","Mahindra Sparkle focuses on Pre-Seed, Seed opportunities across Deep Tech, Mobility, operating as a Accelerator relevant to Indian founders.","Deep Tech, Mobility",,https://www.mahindra.com,,Mahindra,,,"Mahindra Sparkle is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, Mobility, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Mahindra Sparkle is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Mahindra Overall, Mahindra Sparkle is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.mahindra.com
Plaksha University Launchpad,Accelerator,Pre-Seed,"Plaksha University Launchpad focuses on Pre-Seed opportunities across Deep Tech, operating as a Accelerator relevant to Indian founders.",Deep Tech,upto ₹3 Lakh,https://plaksha.edu.in,,Plaksha Ticket researched: Plaksha Entrepreneurship Support Program (PESP) seed funding up to ₹3L for select incubated startups (plaksha.edu.in).,,,"Plaksha University Launchpad is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Deep Tech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Plaksha University Launchpad is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Plaksha Overall, Plaksha University Launchpad is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://plaksha.edu.in
Ashoka University Entrepreneurship,Accelerator,Pre-Seed,"Ashoka University Entrepreneurship focuses on Pre-Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,https://www.ashoka.edu.in,,Ashoka,,,"Ashoka University Entrepreneurship is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Ashoka University Entrepreneurship is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Ashoka Overall, Ashoka University Entrepreneurship is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.ashoka.edu.in
AIC Banasthali,Accelerator,"Pre-Seed, Seed","AIC Banasthali focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,Atal Incubation Centre,,,"AIC Banasthali is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, AIC Banasthali is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Atal Incubation Centre Overall, AIC Banasthali is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,deal press
AIC NITTE,Accelerator,"Pre-Seed, Seed","AIC NITTE focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,Atal Incubation Centre,,,"AIC NITTE is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, AIC NITTE is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Atal Incubation Centre Overall, AIC NITTE is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,deal press
Manipal Universal TBI,Accelerator,"Pre-Seed, Seed","Manipal Universal TBI focuses on Pre-Seed, Seed opportunities across Health, operating as a Accelerator relevant to Indian founders.",Health,₹10 Lakh – ₹25 Lakh,https://manipal.edu,,Manipal TBI | Ticket researched: Seed loan/equity up to ₹25L; NIDHI PRAYAS up to ₹10L; GENESIS EiR up to ₹10L (MUTBI),,,"Manipal Universal TBI is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Health, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Manipal Universal TBI is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Manipal TBI Overall, Manipal Universal TBI is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://manipal.edu
Genome Valley Bio Incubators,Accelerator,"Pre-Seed, Seed","Genome Valley Bio Incubators focuses on Pre-Seed, Seed opportunities across Health, Biotech, operating as a Accelerator relevant to Indian founders.","Health, Biotech",,,,Hyderabad cluster,,,"Genome Valley Bio Incubators is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Health, Biotech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Genome Valley Bio Incubators is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Hyderabad cluster Overall, Genome Valley Bio Incubators is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks.",Unverified – inferred (template),HQ India,deal press
RKVY-RAFTAAR Incubators,Accelerator,"Pre-Seed, Seed","RKVY-RAFTAAR Incubators focuses on Pre-Seed, Seed opportunities across Agritech / Food, operating as a Accelerator relevant to Indian founders.",Agritech / Food,₹5 Lakh – ₹25 Lakh,https://rkvy.nic.in,,Agri scheme incubators | Ticket researched: Idea/pre-seed up to ₹5L; seed stage up to ₹25L grant-in-aid (RKVY-RAFTAAR / agristartup.gov.in),,,"RKVY-RAFTAAR Incubators is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Agritech / Food, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, RKVY-RAFTAAR Incubators is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Agri scheme incubators Overall, RKVY-RAFTAAR Incubators is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://rkvy.nic.in
Goa Startup Mission,Accelerator,"Pre-Seed, Seed","Goa Startup Mission focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,upto ₹10 Lakh,https://www.goa.gov.in,,State | Ticket researched: Seed Capital Scheme one-time grant up to ₹10L for MVP-stage startups (Goa Startup Policy 2025),,,"Goa Startup Mission is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Goa Startup Mission is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Goa Startup Mission is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.goa.gov.in
Startup Madhya Pradesh,Accelerator,"Pre-Seed, Seed","Startup Madhya Pradesh focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Startup Madhya Pradesh is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Startup Madhya Pradesh is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Startup Madhya Pradesh is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Startup Jharkhand,Accelerator,"Pre-Seed, Seed","Startup Jharkhand focuses on Pre-Seed, Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Startup Jharkhand is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Startup Jharkhand is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Startup Jharkhand is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Bihar Startup Fund programs,Accelerator,Pre-Seed,"Bihar Startup Fund programs focuses on Pre-Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Bihar Startup Fund programs is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Bihar Startup Fund programs is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Bihar Startup Fund programs is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Startup Himachal,Accelerator,Pre-Seed,"Startup Himachal focuses on Pre-Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Startup Himachal is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Startup Himachal is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Startup Himachal is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Startup J&K,Accelerator,Pre-Seed,"Startup J&K focuses on Pre-Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Startup J&K is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Startup J&K is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Startup J&K is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Chhattisgarh Startup,Accelerator,Pre-Seed,"Chhattisgarh Startup focuses on Pre-Seed opportunities across Sector Agnostic, operating as a Accelerator relevant to Indian founders.",Sector Agnostic,,,,State,,,"Chhattisgarh Startup is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Sector Agnostic, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Chhattisgarh Startup is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: State Overall, Chhattisgarh Startup is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,state portal
Village Capital India,Accelerator,"Pre-Seed, Seed","Village Capital India focuses on Pre-Seed, Seed opportunities across Impact, Fintech, operating as a Accelerator relevant to Indian founders.","Impact, Fintech",$50K – $100K,https://vilcap.com,,Verify India cohorts | Ticket researched: Peer-selected programme winners typically $50–100K per venture (Hindu Business Line / VCCircle),,,"Village Capital India is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Impact, Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Village Capital India is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Verify India cohorts Overall, Village Capital India is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),Active India cheque,https://vilcap.com
Bosch Startup Harbor India,Accelerator,"Pre-Seed, Seed","Bosch Startup Harbor India focuses on Pre-Seed, Seed opportunities across Deep Tech, Mobility, operating as a Accelerator relevant to Indian founders.","Deep Tech, Mobility",,https://www.bosch.com,,Bosch,,,"Bosch Startup Harbor India is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, Mobility, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Bosch Startup Harbor India is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Bosch Overall, Bosch Startup Harbor India is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks.",Unverified – inferred (template),Active India cheque,https://www.bosch.com
Intel India Ignite,Accelerator,"Pre-Seed, Seed","Intel India Ignite focuses on Pre-Seed, Seed opportunities across Deep Tech, AI / ML, operating as a Accelerator relevant to Indian founders.","Deep Tech, AI / ML",,https://www.intel.in,,Intel,,,"Intel India Ignite is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, AI / ML, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Intel India Ignite is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Intel Overall, Intel India Ignite is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks.",Unverified – inferred (template),Active India cheque,https://www.intel.in
Qualcomm Design in India Startup,Accelerator,"Pre-Seed, Seed","Qualcomm Design in India Startup focuses on Pre-Seed, Seed opportunities across Deep Tech, operating as a Accelerator relevant to Indian founders.",Deep Tech,₹3.2 Lakh – ₹50 Lakh,https://www.qualcomm.com,,Qualcomm Ticket researched: Design in India Challenge finalists grant up to ₹3.2L; winner/runner-up grants up to ₹50L / ₹30L / ₹20L; ICF commercialization reimbursements (~₹60L pool) (Qualcomm QDIC rules / TechCircle).,,,"Qualcomm Design in India Startup is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed, Seed. Its stated sector focus covers Deep Tech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Qualcomm Design in India Startup is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Qualcomm Overall, Qualcomm Design in India Startup is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks.",Unverified – inferred (template),Active India cheque,https://www.qualcomm.com
Cashfree for Startups,Accelerator,Pre-Seed,"Cashfree for Startups focuses on Pre-Seed opportunities across Fintech, operating as a Accelerator relevant to Indian founders.",Fintech,,https://www.cashfree.com,,Cashfree,,,"Cashfree for Startups is listed in the VC Dekho investor directory as a Accelerator with activity across Pre-Seed. Its stated sector focus covers Fintech, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, Cashfree for Startups is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: Cashfree Overall, Cashfree for Startups is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.cashfree.com
021 Capital,VC,"Seed, Series A","021 Capital focuses on Seed, Series A opportunities across technology and adjacent sectors, operating as a VC relevant to Indian founders.",Sector Agnostic,$1M – $6M,https://021.capital,,SEBI AIF1; IN/AIF1/17-18/0384 Ticket researched: $1M–$6M (Altport / India VC directories; ET 2019 launch noted initial cheques up to $2M).,,,"021 Capital is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers technology and adjacent sectors, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, 021 Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: SEBI AIF1; IN/AIF1/17-18/0384 Overall, 021 Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
108 Capital,VC,"Seed, Series A","108 Capital focuses on Seed, Series A opportunities across technology and adjacent sectors, operating as a VC relevant to Indian founders.",Sector Agnostic,,https://108.vc,,SEBI AIF2; IN/AIF2/23-24/1349,,,"108 Capital is listed in the VC Dekho investor directory as a VC with activity across Seed, Series A. Its stated sector focus covers technology and adjacent sectors, which helps founders quickly assess thematic fit before outreach. Cheque sizes vary by opportunity and stage. For Indian founders, the practical use of this profile is stage and sector mapping: if your round and category align, 108 Capital is worth including in a shortlist alongside peer funds with similar mandates. Because public detail can be uneven for smaller firms, family offices, and angel networks, treat cheque and stage fields as directional rather than rigid rules. Founders should validate current thesis, geography preference, and lead vs follow behaviour through recent announcements, warm intros, or a concise first email that references a clear product and traction snapshot. Additional context from available notes: SEBI AIF2; IN/AIF2/23-24/1349 Overall, 108 Capital is best approached with a crisp narrative on why the opportunity fits its stage and sector lens, and what the next milestone funded capital unlocks. Keep outreach specific: stage, sector, and why now.",Unverified – inferred (template),HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
